,MAL_TBP.U30.30HFE10AA001XQ01.out,MAL_TBP.U30.30HFE50AA001XQ01.out,MAL_TBP.U30.30CJA10DT109.out,MAL_TBP.U30.30HHY11CR002XQ01.out
275,69.59375,68.71875,30.35619354248047,0.0
276,69.59375,68.8125,30.428997039794922,0.0
277,69.03125,69.09375,30.53925323486328,0.0
278,69.03125,68.75,30.478593826293945,0.0
279,69.34375,68.75,30.297014236450195,0.0
280,69.34375,68.96875,30.289453506469727,0.0
281,69.09375,68.90625,30.429458618164062,0.0
282,69.09375,68.90625,30.40947723388672,0.0
283,68.875,68.65625,30.335548400878906,0.0
284,68.875,68.65625,30.291061401367188,0.0
285,69.03125,68.9375,30.497020721435547,0.0
286,69.03125,68.9375,30.497020721435547,0.0
287,69.25,69.03125,30.589832305908203,0.0
288,69.25,69.03125,30.15337562561035,0.0
289,68.9375,69.0,30.120080947875977,0.0
290,68.9375,69.0,29.805744171142578,0.0
291,69.34375,68.96875,29.578874588012695,0.0
292,69.34375,68.96875,29.71120834350586,0.0
293,69.40625,69.1875,29.71120834350586,0.0
294,69.375,69.1875,29.900705337524414,0.0
295,69.1875,68.96875,30.019084930419922,0.0
296,69.1875,68.96875,29.62093734741211,0.0
297,69.34375,69.15625,29.62093734741211,0.0
298,69.125,69.15625,30.349260330200195,0.0
299,68.9375,68.375,30.100635528564453,0.0
300,69.375,68.375,30.046823501586914,0.0
301,69.375,69.15625,30.163402557373047,0.0
302,68.875,69.15625,30.20110321044922,0.0
303,69.0,68.84375,30.10258674621582,0.0
304,68.90625,68.75,30.076372146606445,0.0
305,68.90625,68.75,30.20233154296875,0.0
306,69.125,68.9375,29.076675415039062,0.0
307,69.125,68.9375,29.076675415039062,0.0
308,69.28125,69.1875,29.565872192382812,0.0
309,69.28125,69.1875,29.77629852294922,0.0
310,69.375,69.1875,29.768192291259766,0.0
311,69.375,69.1875,29.827661514282227,0.0
312,69.5625,69.375,29.565685272216797,0.0
313,69.0,69.375,29.34117889404297,0.0
314,69.21875,69.1875,29.49384307861328,0.0
315,68.96875,69.1875,29.462173461914062,0.0
316,69.15625,69.125,29.60294532775879,0.0
317,69.40625,69.125,29.23798370361328,0.0
318,69.40625,69.0,29.629610061645508,0.0
319,69.34375,69.0,29.629610061645508,0.0
320,69.34375,69.0625,29.818355560302734,0.0
321,69.40625,69.1875,29.412628173828125,0.0
322,69.40625,69.1875,29.219924926757812,0.0
323,69.375,69.15625,29.703327178955078,0.0
324,69.375,69.15625,29.583881378173828,0.0
325,69.5,69.1875,29.414871215820312,0.0
326,69.5,69.1875,29.770593643188477,0.0
327,69.625,69.25,29.575130462646484,0.0
328,69.625,69.25,29.87944984436035,0.0
329,69.46875,69.09375,29.346336364746094,0.0
330,69.46875,69.09375,29.346336364746094,0.0
331,69.3125,69.25,29.654123306274414,0.0
332,69.3125,69.25,30.045623779296875,0.0
333,69.25,69.1875,29.93695831298828,0.0
334,69.25,69.1875,29.93210220336914,0.0
335,68.78125,68.84375,29.959781646728516,0.0
336,69.1875,69.0625,29.806711196899414,0.0
337,69.3125,69.625,30.035531997680664,0.0
338,69.0,68.90625,30.346302032470703,0.0
339,69.0,68.90625,30.066967010498047,0.0
340,69.15625,69.09375,30.066967010498047,0.0
341,69.0,68.6875,29.96520233154297,0.0
342,69.0625,68.6875,29.55669593811035,0.0
343,69.0625,68.9375,29.723220825195312,0.0
344,68.78125,68.9375,29.471406936645508,0.0
345,68.78125,69.09375,29.7524356842041,0.0
346,69.0,68.8125,29.7524356842041,0.0
347,69.25,69.1875,29.69351577758789,0.0
348,69.25,69.1875,29.43639373779297,0.0
349,69.21875,69.09375,29.488723754882812,0.0
350,69.21875,69.09375,29.488723754882812,0.0
351,69.3125,69.1875,29.765377044677734,0.0
352,69.5625,69.375,29.32807159423828,0.0
353,69.15625,69.28125,29.90318489074707,0.0
354,69.15625,69.0,29.65134620666504,0.0
355,68.90625,69.09375,29.710792541503906,0.0
356,69.15625,69.0,29.56523895263672,0.0
357,68.875,69.0,29.8821964263916,0.0
358,69.25,69.15625,29.876482009887695,0.0
359,69.3125,69.15625,29.58102798461914,0.0
360,69.3125,69.09375,29.36449432373047,0.0
361,69.28125,69.1875,29.364213943481445,0.0
362,69.28125,69.1875,29.364213943481445,0.0
363,69.78125,69.625,29.88638687133789,0.0
364,69.78125,69.625,29.365917205810547,0.0
365,69.5625,69.46875,29.179725646972656,0.0
366,69.5625,69.46875,29.26479721069336,0.0
367,69.375,69.28125,29.487476348876953,0.0
368,69.375,69.28125,28.933509826660156,0.0
369,69.4375,69.21875,29.43756103515625,0.0
370,69.4375,69.21875,29.1817569732666,0.0
371,69.09375,68.9375,29.734086990356445,0.0
372,69.0,68.9375,29.316743850708008,0.0
373,69.21875,68.9375,29.316743850708008,0.0
374,69.4375,68.9375,29.31865692138672,0.0
375,69.3125,69.1875,29.38530731201172,0.0
